,0
2643,4
2644,4
2645,4
2646,1
2647,1
2648,1
2649,5
2650,4
2651,4
2652,4
2653,5
2654,4
2655,4
2656,0
2657,4
2658,4
2659,6
2660,4
2661,4
2662,1
2663,4
2664,4
2665,0
2666,5
2667,1
2668,0
2669,4
2670,6
2671,5
2672,5
2673,1
2674,5
2675,1
2676,3
2677,5
2678,1
2679,2
2680,1
2681,4
2682,1
2683,2
2684,0
2685,6
2686,5
2687,0
2688,4
2689,1
2690,5
2691,5
2692,5
2693,1
2694,5
2695,5
2696,1
2697,3
2698,5
2699,4
2700,4
2701,1
2702,6
2703,5
2704,4
2705,5
2706,5
2707,3
2708,5
2709,3
2710,5
2711,1
2712,1
2713,1
2714,5
2715,1
2716,5
2717,5
2718,5
2719,1
2720,5
2721,4
2722,4
2723,1
2724,3
2725,5
2726,5
2727,1
2728,1
2729,5
2730,4
2731,4
2732,1
2733,4
2734,6
2735,4
2736,1
2737,4
2738,0
2739,4
2740,5
2741,1
2742,4
2743,1
2744,3
2745,4
2746,4
2747,4
2748,1
2749,4
2750,4
2751,4
2752,5
2753,0
2754,4
2755,4
2756,4
2757,4
2758,1
2759,3
2760,5
2761,4
2762,3
2763,4
2764,5
2765,4
2766,1
2767,4
2768,5
2769,4
2770,1
2771,0
2772,5
2773,1
2774,2
2775,3
2776,1
2777,1
2778,4
2779,0
2780,4
2781,1
2782,1
2783,4
2784,4
2785,5
2786,5
2787,5
2788,0
2789,1
2790,0
2791,4
2792,4
2793,5
2794,0
2795,1
2796,1
2797,0
2798,0
2799,4
2800,0
2801,0
2802,5
2803,5
2804,5
2805,1
2806,0
2807,5
2808,4
2809,5
2810,4
2811,4
2812,3
2813,1
2814,5
2815,4
2816,6
2817,5
2818,4
2819,5
2820,5
2821,4
2822,4
2823,4
2824,5
2825,5
2826,4
2827,4
2828,1
2829,5
2830,1
2831,5
2832,5
2833,2
2834,5
2835,5
2836,4
2837,1
2838,5
2839,5
2840,4
2841,5
2842,4
2843,5
2844,0
2845,4
2846,3
2847,4
2848,2
2849,1
2850,5
2851,1
2852,6
2853,4
2854,1
2855,1
2856,3
2857,1
2858,4
2859,5
2860,5
2861,5
2862,5
2863,1
2864,0
2865,4
2866,0
2867,4
2868,4
2869,5
2870,4
2871,4
2872,1
